date,customer,rating,feedback
2026-06-01,anna.k,2,"App keeps crashing every time I open the checkout page. Lost my cart twice."
2026-06-03,mark_t,5,"Love the new dark mode, looks fantastic and easy on the eyes."
2026-06-05,priya.s,3,"Decent app but the loading time on the home screen is painfully slow."
2026-06-08,j.miller,1,"Was charged twice for my subscription and support has not replied in a week."
2026-06-10,sofia_r,4,"Great overall! Would be nice if you could add an export to PDF feature."
2026-06-12,tom.b,2,"Login keeps failing with OTP, had to reset my password three times."
2026-06-15,lena.w,5,"Customer support resolved my issue in minutes, really impressed."
2026-06-18,dave99,1,"Too many ads now. The popup after every action is extremely annoying."
2026-06-20,maria.g,4,"The new UI layout is much more intuitive than before, nice work."
2026-06-22,ken_a,2,"Battery drain is real since the last update, my phone gets hot."
2026-06-25,zoe.f,3,"Please add support for multiple accounts, switching is a pain."
2026-06-28,raj.p,5,"Fast, clean, and the search finally works properly. Keep it up!"
